subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev2stim,prev3stim,prev3resp
1,1,2,97,-1,0,0.83,-1,-1,1.4766894632782,1,-1,-1,-1
1,1,2,98,-1,0,1.762,-1,-1,-1.91107714044048,-1,-1,-1,1
1,1,2,99,-1,0,1.111,-1,-1,0.891365937707563,-1,-1,-1,-1
1,1,2,100,1,1,1.571,-1,-1,-0.825546710653121,-1,-1,-1,-1
1,1,2,101,-1,0,1.841,1,1,0.464222861465342,-1,-1,-1,-1
1,1,2,102,1,0,0.91,-1,-1,1.05464544455344,1,1,-1,-1
1,1,2,103,-1,0,2.141,1,-1,-1.56850954813769,-1,-1,1,1
1,1,2,104,1,1,0.931,-1,-1,1.61665402649174,-1,1,-1,-1
1,1,2,105,-1,0,1.131,1,1,-1.48357515596156,-1,-1,1,-1
1,1,2,106,-1,0,1.091,-1,-1,-0.759125750786455,1,1,-1,-1
1,1,2,107,-1,0,1.631,-1,-1,-0.89317429323457,-1,-1,1,1
1,1,2,108,-1,0,1.951,-1,-1,0.603756847400924,-1,-1,-1,-1
1,1,2,109,-1,0,1.882,-1,-1,1.27069106086109,-1,-1,-1,-1
1,1,2,110,1,1,1.451,-1,-1,1.13664426740215,-1,-1,-1,-1
1,1,2,111,-1,0,1.882,1,1,0.168411775795819,-1,-1,-1,-1
1,1,2,112,1,0,0.831,-1,-1,1.13664426740215,1,1,-1,-1
1,1,2,113,-1,0,0.971,1,-1,-1.90659454381715,-1,-1,1,1
1,1,2,114,1,1,1.801,-1,-1,-1.32696758359203,-1,1,-1,-1
1,1,2,115,-1,0,0.77,1,1,0.972867394139305,-1,-1,1,-1
1,1,2,116,1,1,0.71,-1,-1,-2.19041783397129,1,1,-1,-1
1,1,2,117,-1,0,1.141,1,1,-2.49243169141934,-1,-1,1,1
1,1,2,118,1,1,0.691,-1,-1,-0.726354447212555,1,1,-1,-1
1,1,2,119,-1,0,1.161,1,1,-2.59341307868886,-1,-1,1,1
1,1,3,1,1,1,1.241,-1,-1,0.671610415562151,1,1,-1,-1
1,1,3,2,1,0,0.901,1,1,-0.413593285113893,-1,-1,1,1
1,1,3,3,-1,0,1.36,1,-1,-1.60551169087126,1,1,-1,-1
1,1,3,4,-1,0,1.13,-1,-1,-0.0727072991240665,-1,1,1,1
1,1,3,5,1,1,1.251,-1,-1,-0.762418803673348,-1,-1,1,-1
1,1,3,6,1,1,1.301,1,1,-0.383715146841999,-1,-1,-1,-1
1,1,3,7,1,1,1.711,1,1,-0.237818888763354,1,1,-1,-1
1,1,3,8,-1,0,1.071,1,1,0.782021712267954,1,1,1,1
1,1,3,9,1,1,1.531,-1,-1,-0.962053150672416,1,1,1,1
1,1,3,10,-1,0,1.241,1,1,0.368207325503183,-1,-1,1,1
1,1,3,11,-1,0,1.571,-1,-1,-0.413593285113893,1,1,-1,-1
1,1,3,12,1,1,1.641,-1,-1,0.464222861465342,-1,-1,1,1
1,1,3,13,1,0,1.291,1,1,0.626512395304144,-1,-1,-1,-1
1,1,3,14,-1,0,1.001,1,-1,-0.26654430941556,1,1,-1,-1
1,1,3,15,1,1,1.532,-1,-1,-1.2136891876292,-1,1,1,1
1,1,3,16,1,0,1.071,1,1,0.37063814246574,-1,-1,1,-1
1,1,3,17,1,0,1.131,1,-1,-0.962053150672416,1,1,-1,-1
1,1,3,18,1,0,0.951,1,-1,-0.759125750786455,-1,1,1,1
1,1,3,19,-1,0,1.571,1,-1,-1.40444792540843,-1,1,1,-1
1,1,3,20,1,0,1.551,-1,-1,0.464222861465342,-1,1,1,-1
1,1,3,21,1,1,1.201,1,-1,0.416524629902886,-1,-1,1,-1
1,1,3,22,1,1,1.811,1,1,-0.535563114685842,-1,1,-1,-1
1,1,3,23,-1,0,1.041,1,1,0.993480935432267,1,1,1,-1
1,1,3,24,1,1,1.812,-1,-1,-1.06782151595523,1,1,1,1
1,1,3,25,-1,0,1.871,1,1,0.995536025766481,-1,-1,1,1
1,1,3,26,1,1,1.861,-1,-1,1.1148212597973,1,1,-1,-1
1,1,3,27,1,1,1.761,1,1,1.09487053656224,-1,-1,1,1
1,1,3,28,-1,1,1.701,1,1,0.889252513838206,1,1,-1,-1
1,1,3,29,-1,0,1.792,-1,1,0.760199867571151,1,1,1,1
1,1,3,30,1,0,1.711,-1,-1,0.954217110539006,1,-1,1,1
1,1,3,33,-1,0,1.301,-1,-1,-1.40444792540843,-1,-1,-1,1
1,1,3,34,1,0,1.091,-1,-1,-0.237818888763354,-1,1,-1,-1
1,1,3,35,1,0,1.051,1,-1,-0.89317429323457,-1,-1,1,-1
1,1,3,36,-1,0,1.652,1,-1,-1.03223046049682,-1,1,-1,-1
1,1,3,37,-1,1,0.881,-1,-1,0.65138388562954,-1,1,1,-1
1,1,3,38,1,1,1.191,-1,1,-1.68907964529994,-1,-1,1,-1
1,1,3,39,-1,1,1.371,1,1,-0.56669035326797,1,-1,-1,-1
1,1,3,40,-1,0,1.521,-1,1,-0.0427175679190277,1,1,-1,1
1,1,3,41,-1,0,1.101,-1,-1,0.343811458083353,1,-1,1,1
1,1,3,42,-1,0,1.471,-1,-1,-0.859206940380641,-1,-1,-1,1
1,1,3,43,1,1,1.141,-1,-1,0.219374872083918,-1,-1,-1,-1
1,1,3,44,-1,1,1.181,1,1,-0.726354447212555,-1,-1,-1,-1
1,1,3,45,1,1,1.051,-1,1,-0.598080050584251,1,1,-1,-1
1,1,3,46,1,0,1.571,1,1,-1.03223046049682,1,-1,1,1
1,1,3,47,1,1,0.731,1,-1,0.464222861465342,1,1,-1,1
1,1,3,48,1,0,1.311,1,1,-2.38391780916688,-1,1,1,1
1,1,3,49,1,0,0.931,1,-1,-0.209313419890858,1,1,1,-1
1,1,3,50,-1,1,1.241,1,-1,-1.48357515596156,-1,1,1,1
1,1,3,51,-1,0,1.411,-1,1,-0.413593285113893,-1,1,1,-1
1,1,3,52,-1,0,2.092,-1,-1,0.0643436144506365,1,-1,1,-1
1,1,3,53,-1,0,1.281,-1,-1,1.53046212727551,-1,-1,-1,1
1,1,3,54,1,0,1.171,-1,-1,-0.295493102610757,-1,-1,-1,-1
1,1,3,55,-1,0,0.981,1,-1,-0.629736670298611,-1,-1,-1,-1
1,1,3,56,1,1,1.481,-1,-1,-1.28882384779083,-1,1,-1,-1
1,1,3,57,1,1,1.722,1,1,0.244597163995574,-1,-1,1,-1
1,1,3,58,-1,0,1.181,1,1,0.805878919754647,1,1,-1,-1
1,1,3,59,1,1,1.031,-1,-1,-0.598080050584251,1,1,1,1
1,1,3,60,-1,0,1.381,1,1,-1.1037561197293,-1,-1,1,1
1,1,3,61,1,1,1.11,-1,-1,-0.015662245017899,1,1,-1,-1
1,1,3,62,-1,0,1.311,1,1,-0.828899071119085,-1,-1,1,1
1,1,3,63,1,0,1.29,-1,-1,-0.209313419890858,1,1,-1,-1
1,1,3,64,-1,0,1.25,1,-1,-0.269429079839559,-1,-1,1,1
1,1,3,65,1,0,1.751,-1,-1,-0.386692193018952,-1,1,-1,-1
1,1,3,66,1,0,1.04,1,-1,0.868052023480078,-1,-1,1,-1
1,1,3,67,1,1,1.231,1,-1,-1.07139940767309,-1,1,-1,-1
1,1,3,68,-1,0,1.09,1,1,-0.443713158522756,-1,1,1,-1
1,1,3,69,-1,0,1.02,-1,-1,-0.896588136707075,1,1,1,-1
1,1,3,70,1,0,1.05,-1,-1,-1.14368898092064,-1,-1,1,1
1,1,3,71,1,0,1.371,1,-1,-1.03577429326884,-1,-1,-1,-1
1,1,3,72,-1,0,1.361,1,-1,-0.0427175679190277,-1,1,-1,-1
1,1,3,73,1,1,1.371,-1,-1,-0.0699709549759631,-1,1,1,-1
1,1,3,74,-1,0,1.691,1,1,-0.0427175679190277,-1,-1,1,-1
1,1,3,75,-1,0,1.031,-1,-1,0.738249355593875,1,1,-1,-1
1,1,3,76,-1,0,2.242,-1,-1,-1.1037561197293,-1,-1,1,1
1,1,3,77,-1,1,1.531,-1,-1,1.78825748306567,-1,-1,-1,-1
1,1,3,78,-1,0,0.831,-1,1,0.368207325503183,-1,-1,-1,-1
1,1,3,79,-1,0,1.421,-1,-1,-1.90659454381715,1,-1,-1,-1
1,1,3,80,1,1,1.671,-1,-1,0.0906346562482365,-1,-1,-1,1
1,1,3,81,-1,1,0.83,1,1,0.693956197214476,-1,-1,-1,-1
1,1,3,82,-1,0,1.31,-1,1,-1.91107714044048,1,1,-1,-1
1,1,3,83,1,1,1.191,-1,-1,-0.212154164817625,1,-1,1,1
1,1,3,84,1,1,0.751,1,1,-0.56669035326797,-1,-1,-1,1
1,1,3,85,1,0,1.751,1,1,-2.28343138346597,1,1,-1,-1
1,1,3,86,-1,0,1.591,1,-1,0.868052023480078,1,1,1,1
1,1,3,87,-1,0,1.461,-1,-1,0.511317683642179,-1,1,1,1
1,1,3,88,1,1,1.771,-1,-1,0.193980530466605,-1,-1,1,-1
1,1,3,89,-1,0,1.101,1,1,0.910332955476192,-1,-1,-1,-1
1,1,3,90,-1,0,1.642,-1,-1,-0.859206940380641,1,1,-1,-1
1,1,3,91,-1,0,1.211,-1,-1,0.628780318643177,-1,-1,1,1
1,1,3,92,-1,0,0.981,-1,-1,-0.504693982212932,-1,-1,-1,-1
1,1,3,93,1,1,1.221,-1,-1,-1.28882384779083,-1,-1,-1,-1
1,1,3,94,-1,0,1.351,1,1,-0.474078710610598,-1,-1,-1,-1
1,1,3,95,1,1,0.8,-1,-1,-0.097425327528368,1,1,-1,-1
1,1,3,96,1,0,1.411,1,1,-2.04812805401518,-1,-1,1,1
1,1,3,97,1,1,1.411,1,-1,0.0643436144506365,1,1,-1,-1
1,1,3,98,1,1,1.901,1,1,0.0643436144506365,-1,1,1,1
1,1,3,99,-1,0,1.101,1,1,1.17403983686193,1,1,1,-1
1,1,3,100,1,1,1.592,-1,-1,-0.859206940380641,1,1,1,1
1,1,3,101,-1,0,1.561,1,1,0.513656858111781,-1,-1,1,1
1,1,3,102,-1,0,1.24,-1,-1,0.440450136712004,1,1,-1,-1
1,1,3,103,-1,0,1.091,-1,-1,-0.416594330053427,-1,-1,1,1
1,1,3,104,1,1,1.441,-1,-1,-0.89317429323457,-1,-1,-1,-1
1,1,3,107,1,0,1.241,-1,-1,-1.52377852773597,-1,-1,-1,-1
1,1,3,108,1,0,0.991,1,-1,-0.413593285113893,1,1,-1,-1
1,1,3,109,-1,0,1.301,1,-1,-1.25106697195998,-1,1,1,1
1,1,3,110,1,0,1.05,-1,-1,-0.237818888763354,-1,1,1,-1
1,1,3,111,-1,0,1.071,1,-1,-1.03577429326884,-1,-1,1,-1
1,1,3,112,1,0,1.471,-1,-1,-0.962053150672416,-1,1,-1,-1
1,1,3,113,1,1,1.531,1,-1,0.219374872083918,-1,-1,1,-1
1,1,3,114,-1,0,1.111,1,1,0.368207325503183,-1,1,-1,-1
1,1,3,115,1,1,1.241,-1,-1,-0.825546710653121,1,1,1,-1
