subj_idx,session,block,trial,stimulus,response,rt,prevstim,prevresp,prevrt,prev2resp,prev3resp,prev2stim,prev3stim,prev2rt,prev3rt
1,1,2,20,-1,0,1.41,1,1,1.68563610433838,-1,1,1,1,0.216698662982614,-0.665143564828916
1,1,2,21,1,1,1.554,-1,-1,0.655860708982819,1,-1,1,1,1.68563610433838,0.216698662982614
1,1,2,22,1,1,1.263,1,1,1.13597811370376,-1,1,-1,1,0.655860708982819,1.68563610433838
1,1,2,23,-1,1,1.317,1,1,0.112262655838622,1,-1,1,-1,1.13597811370376,0.655860708982819
1,1,2,24,1,0,1.293,-1,1,0.318971282339406,1,1,1,1,0.112262655838622,1.13597811370376
1,1,2,25,-1,0,1.225,1,-1,0.228167467791089,1,1,-1,1,0.318971282339406,0.112262655838622
1,1,2,26,1,0,1.168,-1,-1,-0.0385674762781045,-1,1,1,-1,0.228167467791089,0.318971282339406
1,1,2,27,1,1,0.992,1,-1,-0.273820616739954,-1,-1,-1,1,-0.0385674762781045,0.228167467791089
1,1,2,28,1,1,1.349,1,1,-1.08020839691983,-1,-1,1,-1,-0.273820616739954,-0.0385674762781045
1,1,2,29,1,1,1.645,1,1,0.437502244207248,1,-1,1,1,-1.08020839691983,-0.273820616739954
1,1,2,30,1,1,1.404,1,1,1.4169516737427,1,1,1,1,0.437502244207248,-1.08020839691983
1,1,2,31,1,1,1.851,1,1,0.634806015029196,1,1,1,1,1.4169516737427,0.437502244207248
1,1,2,32,1,1,1.353,1,1,1.9994843736343,1,1,1,1,0.634806015029196,1.4169516737427
1,1,2,33,1,1,1.585,1,1,0.452120517654393,1,1,1,1,1.9994843736343,0.634806015029196
1,1,2,34,-1,0,1.291,1,1,1.23350079095683,1,1,1,1,0.452120517654393,1.9994843736343
1,1,2,35,1,0,1.377,-1,-1,0.220524558757157,1,1,1,1,1.23350079095683,0.452120517654393
1,1,2,36,-1,0,1.163,1,-1,0.538932745347006,-1,1,-1,1,0.220524558757157,1.23350079095683
1,1,2,37,-1,0,0.783,-1,-1,-0.295001765698642,-1,-1,1,-1,0.538932745347006,0.220524558757157
1,1,2,38,1,0,0.959,-1,-1,-2.24833055237529,-1,-1,-1,1,-0.295001765698642,0.538932745347006
1,1,2,39,-1,0,1.077,1,-1,-1.24724790792978,-1,-1,-1,-1,-2.24833055237529,-0.295001765698642
1,1,2,40,1,1,1.105,-1,-1,-0.674303712632661,-1,-1,1,-1,-1.24724790792978,-2.24833055237529
1,1,2,41,1,1,1.318,1,1,-0.547582814489258,-1,-1,-1,1,-0.674303712632661,-1.24724790792978
1,1,2,42,-1,1,1.92,1,1,0.322718772652139,1,-1,1,-1,-0.547582814489258,-0.674303712632661
1,1,2,43,1,0,1.048,-1,1,2.1801860369517,1,1,1,1,0.322718772652139,-0.547582814489258
1,1,2,44,-1,0,0.869,1,-1,-0.809071824728369,1,1,-1,1,2.1801860369517,0.322718772652139
1,1,2,45,-1,1,1.019,-1,-1,-1.7338104980783,-1,1,1,-1,-0.809071824728369,2.1801860369517
1,1,2,46,-1,0,1.021,-1,1,-0.947622018302929,-1,-1,-1,1,-1.7338104980783,-0.809071824728369
1,1,2,47,-1,0,1.259,-1,-1,-0.937940999024775,1,-1,-1,-1,-0.947622018302929,-1.7338104980783
