subj_idx,session,block,trial,stimulus,coherence,response,rt,prevstim,prevresp,prev2resp,prev2stim,prev3resp,prev3stim,prevrt
1,1,3,17,9,9,1,0.584260940551758,1,1,1,1,1,-1,0.217137813568115
1,1,3,18,0,0,1,0.567181825637817,1,1,1,1,1,1,0.334260940551758
1,1,3,19,81,81,1,0.351433038711548,1,1,1,1,1,1,0.317181825637817
1,1,3,20,27,27,1,0.400520086288452,1,1,1,1,1,1,0.101433038711548
1,1,3,21,81,81,1,0.367630004882812,1,1,1,1,1,1,0.150520086288452
1,1,3,22,3,3,0,0.800911664962769,1,1,1,1,1,1,0.117630004882812
1,1,3,23,81,81,1,0.400466680526733,1,-1,1,1,1,1,0.550911664962769
1,1,3,24,9,9,1,0.400464773178101,1,1,-1,1,1,1,0.150466680526733
1,1,3,25,-81,81,0,0.600528955459595,1,1,1,1,-1,1,0.150464773178101
1,1,3,26,-81,81,0,0.483796834945679,-1,-1,1,1,1,1,0.350528955459595
1,1,3,27,-27,27,0,0.350471019744873,-1,-1,-1,-1,1,1,0.233796834945679
1,1,3,28,-27,27,0,0.417145967483521,-1,-1,-1,-1,-1,-1,0.100471019744873
1,1,3,29,9,9,0,0.467586994171143,-1,-1,-1,-1,-1,-1,0.167145967483521
1,1,3,30,81,81,1,0.367589950561523,1,-1,-1,-1,-1,-1,0.217586994171143
1,1,3,31,0,0,1,0.500913858413696,1,1,-1,1,-1,-1,0.117589950561523
1,1,3,32,3,3,1,0.650929689407349,1,1,1,1,-1,1,0.250913858413696
1,1,3,33,27,27,1,0.450494527816772,1,1,1,1,1,1,0.400929689407349
1,1,3,34,0,0,0,0.46822452545166,1,1,1,1,1,1,0.200494527816772
1,1,3,35,0,0,0,0.48380708694458,1,-1,1,1,1,1,0.21822452545166
1,1,3,36,81,81,1,0.434252023696899,1,-1,-1,1,1,1,0.23380708694458
1,1,3,37,27,27,1,0.517127990722656,1,1,-1,1,-1,1,0.184252023696899
1,1,3,38,81,81,1,0.467587232589722,1,1,1,1,-1,1,0.267127990722656
1,1,3,39,-3,3,0,0.584266901016235,1,1,1,1,1,1,0.217587232589722
1,1,3,40,-81,81,0,0.533790111541748,-1,-1,1,1,1,1,0.334266901016235
1,1,3,41,9,9,1,0.684268951416016,-1,-1,-1,-1,1,1,0.283790111541748
1,1,3,42,-0,0,1,0.633784770965576,1,1,-1,-1,-1,-1,0.434268951416016
1,1,3,43,-9,9,0,0.383824825286865,-1,1,1,1,-1,-1,0.383784770965576
1,1,3,44,-81,81,0,0.267138957977295,-1,-1,1,-1,1,1,0.133824825286865
1,1,3,45,-9,9,0,0.483803987503052,-1,-1,-1,-1,1,-1,0.0171389579772949
1,1,3,46,-27,27,0,0.4504714012146,-1,-1,-1,-1,-1,-1,0.233803987503052
1,1,3,47,-3,3,0,0.917135953903198,-1,-1,-1,-1,-1,-1,0.2004714012146
1,1,3,48,-9,9,0,0.434256553649902,-1,-1,-1,-1,-1,-1,0.667135953903198
1,1,3,49,-81,81,0,0.483800888061523,-1,-1,-1,-1,-1,-1,0.184256553649902
1,1,3,50,-0,0,1,0.500484943389893,-1,-1,-1,-1,-1,-1,0.233800888061523
1,1,3,51,-27,27,0,0.40052318572998,-1,1,-1,-1,-1,-1,0.250484943389893
1,1,3,52,9,9,1,0.417584896087646,-1,-1,1,-1,-1,-1,0.15052318572998
1,1,3,53,-3,3,1,0.484247922897339,1,1,-1,-1,1,-1,0.167584896087646
1,1,3,54,-9,9,0,0.65091609954834,-1,1,1,1,-1,-1,0.234247922897339
1,1,3,55,-9,9,0,0.383790969848633,-1,-1,1,-1,1,1,0.40091609954834
1,1,3,56,-27,27,0,0.484278917312622,-1,-1,-1,-1,1,-1,0.133790969848633
1,1,3,57,27,27,1,0.384530067443848,-1,-1,-1,-1,-1,-1,0.234278917312622
