correct,rt,stimulus,isi,subj_idx,session,trial,response,prevresp,prev2resp,prev3resp,prevstim,prev2stim,prev3stim,prevrt
1,0.675547395243484,-1,5.285,109,2,45,0,1,-1,-1,1,1,-1,NaN
1,0.620858542278256,1,5.37,109,2,46,1,-1,1,-1,-1,1,1,NaN
1,0.519113508247756,-1,6.087,109,2,47,0,1,-1,1,1,-1,1,NaN
1,0.789249501473932,-1,5.092,109,2,48,0,-1,1,-1,-1,1,-1,NaN
1,0.546168673300599,-1,5.622,109,2,49,0,-1,-1,1,-1,-1,1,NaN
1,0.936358005831607,-1,5.718,109,2,50,0,-1,-1,-1,-1,-1,-1,NaN
1,0.639671227712824,-1,6.465,109,2,51,0,-1,-1,-1,-1,-1,-1,NaN
1,0.661984276990552,-1,5.272,109,2,52,0,-1,-1,-1,-1,-1,-1,NaN
1,0.633870397055034,1,5.26,109,2,53,1,-1,-1,-1,-1,-1,-1,NaN
1,1.1980437048469,1,5.231,109,2,54,1,1,-1,-1,1,-1,-1,NaN
1,0.658066780210902,-1,5.487,109,2,55,0,1,1,-1,1,1,-1,NaN
1,1.33915887964122,-1,6.029,109,2,56,0,-1,1,1,-1,1,1,NaN
1,0.981089600591076,1,5.62,109,2,57,1,-1,-1,1,-1,-1,1,NaN
1,0.921617252583928,1,5.343,109,2,58,1,1,-1,-1,1,-1,-1,NaN
1,0.646443002660817,-1,5.039,109,2,59,0,1,1,-1,1,1,-1,NaN
1,0.766505319350472,1,6.245,109,2,60,1,-1,1,1,-1,1,1,NaN
1,0.664684176632363,1,5.811,109,2,61,1,1,-1,1,1,-1,1,NaN
1,0.646968360128994,1,5.008,109,2,62,1,1,1,-1,1,1,-1,NaN
1,0.496332766048909,-1,5.487,109,2,63,0,1,1,1,1,1,1,NaN
1,0.552729709515006,-1,6.191,109,2,64,0,-1,1,1,-1,1,1,NaN
1,0.651780396336108,-1,6.478,109,2,65,0,-1,-1,1,-1,-1,1,NaN
1,0.716135934383601,1,5.85,109,2,66,1,-1,-1,-1,-1,-1,-1,NaN
1,0.507669429098314,-1,6.205,109,2,67,0,1,-1,-1,1,-1,-1,NaN
1,0.620924850114534,-1,6.24,109,2,68,0,-1,1,-1,-1,1,-1,NaN
1,0.585905642984471,-1,5.152,109,2,69,0,-1,-1,1,-1,-1,1,NaN
1,1.05490918921714,1,5.719,109,2,70,1,-1,-1,-1,-1,-1,-1,NaN
1,0.504722106099507,-1,5.539,109,2,71,0,1,-1,-1,1,-1,-1,NaN
1,0.818589189348131,1,6.455,109,2,72,1,-1,1,-1,-1,1,-1,NaN
1,0.588575881164616,-1,6.206,109,2,73,0,1,-1,1,1,-1,1,NaN
1,1.13871427287086,-1,5.585,109,2,74,0,-1,1,-1,-1,1,-1,NaN
1,0.822792951336851,1,5.039,109,2,75,1,-1,-1,1,-1,-1,1,NaN
1,0.615964469012397,-1,6.464,109,2,76,0,1,-1,-1,1,-1,-1,NaN
1,0.663139134429002,1,5.712,109,2,77,1,-1,1,-1,-1,1,-1,NaN
1,0.59538641198742,-1,6.203,109,2,78,0,1,-1,1,1,-1,1,NaN
1,0.740161416401861,1,6.12,109,2,79,1,-1,1,-1,-1,1,-1,NaN
1,0.63912951304701,-1,6.014,109,2,80,0,1,-1,1,1,-1,1,NaN
1,0.661486776810307,1,5.391,109,2,81,1,-1,1,-1,-1,1,-1,NaN
1,1.03351622382343,1,5.318,109,2,82,1,1,-1,1,1,-1,1,NaN
1,0.704975755634223,1,5.133,109,2,83,1,1,1,-1,1,1,-1,NaN
1,0.622300100359098,1,5.438,109,2,84,1,1,1,1,1,1,1,NaN
1,0.618402690077346,1,5.999,109,2,85,1,1,1,1,1,1,1,NaN
0,0.81036313786808,1,5.297,109,2,86,0,1,1,1,1,1,1,NaN
1,1.027126656576,1,5.673,109,2,87,1,-1,1,1,1,1,1,NaN
1,0.935609221253799,1,5.234,109,2,88,1,1,-1,1,1,1,1,NaN
1,0.671786495021479,-1,5.669,109,2,89,0,1,1,-1,1,1,1,NaN
1,0.588230635301443,1,5.573,109,2,90,1,-1,1,1,-1,1,1,NaN
1,0.734390055638869,-1,5.811,109,2,91,0,1,-1,1,1,-1,1,NaN
1,0.630250992147921,-1,5.556,109,2,92,0,-1,1,-1,-1,1,-1,NaN
1,1.487546108885,1,5.367,109,2,93,1,-1,-1,1,-1,-1,1,NaN
1,1.02407779681107,1,5.666,109,2,94,1,1,-1,-1,1,-1,-1,NaN
1,0.791939307360735,1,5.508,109,2,95,1,1,1,-1,1,1,-1,NaN
1,0.866337174324144,-1,6.033,109,2,96,0,1,1,1,1,1,1,NaN
1,0.893397064745841,-1,6.332,109,2,97,0,-1,1,1,-1,1,1,NaN
1,0.644796919601504,1,6.34,109,2,98,1,-1,-1,1,-1,-1,1,NaN
1,1.05473226948561,-1,5.776,109,2,99,0,1,-1,-1,1,-1,-1,NaN
1,1.33449084641506,1,5.07,109,2,100,1,-1,1,-1,-1,1,-1,NaN
1,0.514108048329035,-1,5.025,109,3,2,0,-1,1,-1,-1,1,-1,NaN
1,0.52951272237533,-1,5.891,109,3,3,0,-1,-1,1,-1,-1,1,NaN
1,0.483355087903874,-1,5.746,109,3,4,0,-1,-1,-1,-1,-1,-1,NaN
1,0.594855155899495,1,6.325,109,3,5,1,-1,-1,-1,-1,-1,-1,NaN
1,0.668376911886298,1,5.461,109,3,6,1,1,-1,-1,1,-1,-1,NaN
1,0.595420317618846,1,5.086,109,3,7,1,1,1,-1,1,1,-1,NaN
0,0.58567983994908,-1,6.13,109,3,8,1,1,1,1,1,1,1,NaN
1,1.13101077828833,-1,5.474,109,3,9,0,1,1,1,-1,1,1,NaN
1,0.649359773065044,1,5.282,109,3,10,1,-1,1,1,-1,-1,1,NaN
1,0.690789953645435,1,6.37,109,3,11,1,1,-1,1,1,-1,-1,NaN
1,0.774016307836973,1,5.907,109,3,12,1,1,1,-1,1,1,-1,NaN
1,0.584348340971701,1,6.174,109,3,13,1,1,1,1,1,1,1,NaN
1,0.936450072898879,-1,5.305,109,3,14,0,1,1,1,1,1,1,NaN
1,1.01915088917394,-1,5.301,109,3,15,0,-1,1,1,-1,1,1,NaN
1,0.738588840216835,-1,5.253,109,3,16,0,-1,-1,1,-1,-1,1,NaN
1,0.652938460356381,-1,5.045,109,3,17,0,-1,-1,-1,-1,-1,-1,NaN
0,0.793858884871952,1,6.01,109,3,18,0,-1,-1,-1,-1,-1,-1,NaN
1,0.682210156193833,1,5.834,109,3,19,1,-1,-1,-1,1,-1,-1,NaN
1,0.657439216807688,-1,6.175,109,3,20,0,1,-1,-1,1,1,-1,NaN
0,0.751403060783559,-1,5.899,109,3,21,1,-1,1,-1,-1,1,1,NaN
1,0.676091936633384,-1,5.025,109,3,22,0,1,-1,1,-1,-1,1,NaN
1,0.629898317762127,1,6.04,109,3,23,1,-1,1,-1,-1,-1,-1,NaN
1,0.635474506868377,1,6.139,109,3,24,1,1,-1,1,1,-1,-1,NaN
1,0.687081684657642,-1,6.423,109,3,25,0,1,1,-1,1,1,-1,NaN
1,0.871497437414291,1,6.046,109,3,26,1,-1,1,1,-1,1,1,NaN
1,0.679680936051227,1,5.025,109,3,27,1,1,-1,1,1,-1,1,NaN
1,0.646635452530973,1,6.444,109,3,28,1,1,1,-1,1,1,-1,NaN
1,0.649731030199291,-1,5.295,109,3,29,0,1,1,1,1,1,1,NaN
1,0.94548579577804,-1,5.638,109,3,30,0,-1,1,1,-1,1,1,NaN
